win,dealer_up_card,player_hand_val,action,ace
False,5,20,hit,False
False,J,21,hit,False
False,5,4 / 14,stand,True
False,5,20,hit,False
False,2,19,double down,False
False,2,10 / 20,hit,True
True,J,15,double down,False
False,Q,14,stand,False
False,6,14,double down,False
False,7,15,hit,False
False,5,12,split,False
False,5,16,hit,False
False,5,12,split,False
False,5,14,double down,False
False,8,17,hit,True
False,T,18,hit,False
False,J,17,stand,False
False,A,12,stand,False
False,9,14,double down,False
False,K,20,hit,False
False,J,13,hit,False
False,T,14,hit,False
False,T,13,stand,False
False,A,12,split,False
False,A,10,double down,False
False,A,12,split,False
False,A,16,hit,True
False,2,15,hit,False
False,5,9 / 19,hit,True
True,J,20,stand,False
False,7,16,double down,False
False,Q,4,double down,False
False,K,19,stand,False
False,A,14,split,False
False,A,17,stand,False
False,A,14,split,False
False,A,11,double down,False
False,J,14,hit,True
False,J,16,hit,False
False,6,14,hit,False
True,T,15,double down,False
False,6,18,stand,False
False,Q,16,hit,False
False,7,17,hit,False
False,8,12,stand,False
False,4,16,double down,False
True,J,9,double down,False
True,7,20,stand,False
False,6,21,hit,True
False,T,11 / 21,double down,True
True,T,9,double down,False
False,5,10,stand,False
False,K,14,double down,False
True,Q,12,stand,False
False,A,18,double down,False
False,Q,13,double down,False
True,5,20,hit,True
False,6,18,hit,False
True,6,11 / 21,hit,True
False,6,12,hit,False
False,4,12,hit,False
False,3,7,double down,False
False,7,15,double down,False
False,A,12,hit,False
False,9,12,double down,False
False,Q,17,hit,False
False,4,8,stand,False
False,J,11 / 21,double down,True
True,T,20,stand,False
True,A,9 / 19,hit,True
False,J,13,stand,False
True,K,10,double down,False
False,5,15,hit,False
False,7,16,hit,False
False,4,20,hit,False
False,9,20,double down,False
True,3,20,stand,False
